episode,return,return_ma50
0,263.2006,263.2006
1,225.5408,244.3707
2,365.3256,284.6890
3,329.5544,295.9053
4,358.9064,308.5056
5,183.6373,287.6942
6,455.4118,311.6538
7,274.3021,306.9849
8,286.7801,304.7399
9,445.9856,318.8645
10,402.5694,326.4740
11,240.3838,319.2998
12,377.3388,323.7644
13,470.6865,334.2588
14,442.2075,341.4554
15,482.0547,350.2428
16,152.7441,338.6253
17,446.6702,344.6278
18,461.6172,350.7851
19,418.5717,354.1744
20,440.2622,358.2739
21,168.4501,349.6455
22,245.6049,345.1220
23,481.6631,350.8112
24,162.4817,343.2780
25,211.8197,338.2219
26,114.0795,329.9204
27,433.0646,333.6041
28,263.7675,331.1959
29,344.1975,331.6293
30,328.1468,331.5170
31,155.0946,326.0038
32,327.2960,326.0429
33,353.1011,326.8388
34,335.1779,327.0770
35,391.5750,328.8686
36,240.4504,326.4790
37,320.9546,326.3336
38,291.2264,325.4334
39,403.5839,327.3872
40,340.3634,327.7037
41,223.7467,325.2285
42,349.0678,325.7829
43,383.6207,327.0974
44,424.6933,329.2662
45,260.0837,327.7622
46,124.2801,323.4328
47,439.4836,325.8505
48,150.5811,322.2736
49,479.2522,325.4132
50,419.9271,328.5477
51,353.9880,331.1167
52,171.4280,327.2387
53,396.6780,328.5812
54,442.6323,330.2557
55,310.6461,332.7959
56,365.5789,330.9992
57,486.2810,335.2388
58,463.5425,338.7740
59,376.5485,337.3853
60,399.1128,337.3162
61,370.6448,339.9214
62,399.6063,340.3667
63,37.4434,331.7019
64,426.6067,331.3899
65,439.8460,330.5457
66,424.6551,335.9839
67,113.0335,329.3112
68,375.8993,327.5968
69,352.1100,326.2676
70,247.7817,322.4180
71,340.4667,325.8583
72,415.8555,329.2633
73,464.4360,328.9188
74,374.4818,333.1588
75,376.5503,336.4534
76,174.4375,337.6605
77,303.6052,335.0714
78,426.6945,338.3299
79,246.7071,336.3801
80,321.8843,336.2548
81,283.9815,338.8326
82,438.3855,341.0544
83,386.6128,341.7246
84,441.4160,343.8494
85,397.5422,343.9687
86,394.5815,347.0513
87,469.2701,350.0176
88,394.1773,352.0767
89,447.3746,352.9525
90,171.8236,349.5817
91,423.3761,353.5743
92,385.4238,354.3014
93,414.5043,354.9190
94,363.1197,353.6876
95,335.7619,355.2011
96,287.2999,358.4615
97,400.7561,357.6870
98,234.1483,359.3583
99,368.6388,357.1461
100,350.4026,355.7556
101,457.3814,357.8234
102,415.9395,362.7137
103,381.8254,362.4166
104,326.3658,360.0913
105,411.3999,362.1064
106,425.8671,363.3121
107,85.6059,355.2986
108,450.7560,355.0429
109,406.6592,355.6451
110,371.9740,355.1023
111,293.2369,353.5542
112,334.7955,352.2580
113,173.8247,354.9856
114,302.2541,352.4985
115,300.0704,349.7030
116,445.8044,350.1260
117,437.2262,356.6099
118,443.1014,357.9539
119,248.7044,355.8858
120,468.6251,360.3027
121,372.3362,360.9400
122,416.3788,360.9505
123,216.5345,355.9925
124,354.1780,355.5864
125,497.4575,358.0045
126,278.5426,360.0867
127,364.0546,361.2956
128,355.9581,359.8809
129,461.2213,364.1712
130,401.2300,365.7581
131,432.9789,368.7381
132,420.8318,368.3870
133,450.3828,369.6624
134,382.6463,368.4870
135,276.9684,366.0755
136,459.9125,367.3821
137,439.9270,366.7953
138,202.5991,362.9637
139,397.9755,361.9757
140,288.3126,364.3055
141,375.0187,363.3384
142,307.2394,361.7747
143,425.7244,361.9991
144,258.8691,359.9141
145,390.3738,361.0063
146,362.2642,362.5056
