episode,return,return_ma50
0,2.4000,2.4000
1,1.8191,2.1095
2,2.3912,2.2034
3,2.4000,2.2526
4,2.1023,2.2225
5,2.4013,2.2523
6,2.3563,2.2672
7,2.0872,2.2447
8,1.9603,2.2131
9,2.4535,2.2371
10,2.4000,2.2519
11,2.0717,2.2369
12,1.8650,2.2083
13,1.9952,2.1931
14,2.4000,2.2069
15,2.4000,2.2190
16,2.4761,2.2341
17,1.9814,2.2200
18,2.4000,2.2295
19,2.4000,2.2380
20,2.3369,2.2427
21,2.4000,2.2499
22,1.9937,2.2388
23,2.4986,2.2496
24,2.4000,2.2556
25,2.4871,2.2645
26,2.3889,2.2691
27,2.4043,2.2739
28,2.3864,2.2778
29,2.3314,2.2796
30,2.3067,2.2805
31,2.4587,2.2860
32,2.3604,2.2883
33,2.4732,2.2937
34,2.4232,2.2974
35,2.1097,2.2922
36,2.3486,2.2937
37,2.3569,2.2954
38,2.1071,2.2906
39,2.4031,2.2934
40,2.0477,2.2874
41,2.4577,2.2915
42,2.3685,2.2932
43,2.3223,2.2939
44,2.3583,2.2953
45,2.0948,2.2910
46,2.0925,2.2868
47,2.3473,2.2880
48,2.4000,2.2903
49,2.2400,2.2893
50,1.8702,2.2787
51,2.2235,2.2868
52,2.0718,2.2804
53,2.4000,2.2804
54,2.2048,2.2824
55,2.2724,2.2799
56,2.2955,2.2787
57,2.1311,2.2795
58,2.4000,2.2883
59,2.4000,2.2873
60,2.4000,2.2873
61,2.0342,2.2865
62,2.4504,2.2982
63,2.4000,2.3063
64,2.3572,2.3055
65,2.4899,2.3073
66,2.2904,2.3035
67,2.3154,2.3102
68,2.4531,2.3113
69,2.4000,2.3113
70,2.4271,2.3131
71,2.2514,2.3101
72,2.4687,2.3196
73,2.4000,2.3176
74,2.0148,2.3099
75,1.9848,2.2999
76,2.4479,2.3011
77,2.3650,2.3003
78,2.4000,2.3006
79,2.4000,2.3019
80,2.4000,2.3038
81,2.4000,2.3026
82,2.2093,2.2996
83,1.8565,2.2873
84,2.4000,2.2868
85,2.4000,2.2926
86,2.4000,2.2936
87,2.3929,2.2944
88,2.4000,2.3002
89,2.3548,2.2992
90,2.3896,2.3061
