episode,return,return_ma50
0,383.1591,383.1591
1,300.6699,341.9145
2,311.7762,331.8684
3,288.3939,320.9998
4,305.4140,317.8826
5,396.9448,331.0596
6,478.3461,352.1006
7,408.3886,359.1366
8,210.8296,342.6580
9,488.6065,357.2529
10,150.4080,338.4488
11,453.5324,348.0391
12,383.6063,350.7750
13,259.7693,344.2746
14,429.1482,349.9329
15,409.3659,353.6474
16,299.8915,350.4853
17,350.9653,350.5120
18,447.4995,355.6166
19,308.6050,353.2660
20,420.9583,356.4895
21,419.3036,359.3446
22,453.1672,363.4239
23,417.5352,365.6785
24,475.6139,370.0759
25,374.7757,370.2567
26,407.7733,371.6462
27,403.8056,372.7948
28,435.7410,374.9653
29,482.4000,378.5465
30,261.0777,374.7572
31,206.5068,369.4993
32,160.6517,363.1706
33,327.3996,362.1185
34,385.8015,362.7952
35,370.7624,363.0165
36,417.9373,364.5008
37,500.1252,368.0699
38,361.7888,367.9088
39,277.5424,365.6497
40,335.0716,364.9039
41,230.0945,361.6941
42,334.9313,361.0717
43,437.4674,362.8080
44,428.2309,364.2619
45,361.8717,364.2099
46,379.6124,364.5376
47,408.8858,365.4615
48,448.1143,367.1483
49,379.4338,367.3940
50,296.2667,365.6562
51,105.0090,361.7430
52,143.5469,358.3784
53,461.1906,361.8343
54,376.1381,363.2488
55,305.5435,361.4208
56,464.6056,361.1460
57,88.4191,354.7466
58,345.3385,357.4367
59,447.7187,356.6190
60,438.1119,362.3731
61,483.9898,362.9822
62,458.9461,364.4890
63,264.1641,364.5769
64,446.1216,364.9164
65,260.8765,361.9466
66,372.7586,363.4039
67,297.9899,362.3444
68,342.1228,360.2369
69,391.4852,361.8945
70,318.7411,359.8501
71,359.0925,358.6459
72,355.3997,356.6906
73,126.5210,350.8703
74,363.7684,348.6334
75,481.3788,350.7654
76,424.8914,351.1078
77,472.3586,352.4789
78,393.2202,351.6284
79,346.8439,348.9173
80,458.0714,352.8572
81,466.2529,358.0521
82,345.7763,361.7546
83,279.5310,360.7972
84,429.5919,361.6730
85,314.7341,360.5525
86,329.9142,358.7920
87,323.9351,355.2682
88,502.8000,358.0884
89,351.5740,359.5691
90,385.6986,360.5816
91,459.4253,365.1682
92,234.5744,363.1611
93,363.9537,361.6908
94,307.2691,359.2716
95,396.8560,359.9713
96,230.1913,356.9828
97,300.6694,354.8185
98,320.6913,352.2700
99,384.2315,352.3660
100,312.1647,352.6840
101,316.8919,356.9216
102,394.2199,361.9351
103,373.9839,360.1909
104,369.9879,360.0679
105,272.3524,359.4041
106,447.1457,359.0549
107,285.9003,363.0045
108,458.5987,365.2698
109,354.3676,363.4027
110,455.5535,363.7516
111,337.1864,360.8155
112,316.8523,357.9736
113,405.6181,360.8027
114,232.4210,356.5287
115,399.1645,359.2944
116,448.0786,360.8008
117,328.1147,361.4033
118,360.9862,361.7806
119,411.6116,362.1831
120,430.2116,364.4125
121,436.2411,365.9555
122,467.5696,368.1989
123,502.5617,375.7197
124,411.8456,376.6813
125,222.0613,371.4949
126,344.8563,369.8942
127,373.1398,367.9098
128,250.5718,365.0569
129,268.3476,363.4870
130,322.7873,360.7813
131,471.6482,360.8892
132,463.1240,363.2361
133,402.3056,365.6916
134,417.6905,365.4536
135,502.7853,369.2146
136,383.9678,370.2957
137,97.0064,365.7571
138,452.0085,364.7413
139,476.6450,367.2427
140,315.5458,365.8397
141,191.1877,360.4749
142,498.0227,365.7439
143,274.9064,363.9629
144,200.8961,361.8355
145,388.0948,361.6602
146,471.3203,366.4828
147,346.5017,367.3995
148,425.0401,369.4864
149,259.5718,366.9932
150,174.8980,364.2479
151,384.1848,365.5938
152,435.1650,366.4127
153,373.4887,366.4028
154,417.4114,367.3512
155,366.2792,369.2298
156,302.8078,366.3430
157,326.7833,367.1607
158,352.2148,365.0330
159,323.1117,364.4079
160,368.8000,362.6728
161,406.1581,364.0522
162,266.8721,363.0526
163,480.6166,364.5526
164,250.3221,364.9106
165,359.8427,364.1242
166,259.4305,360.3512
167,169.4887,357.1787
168,243.8511,354.8360
169,460.6966,355.8177
170,356.5268,354.3440
171,376.8495,353.1562
172,277.3537,349.3519
