episode,return,return_ma50
0,764.2000,764.2000
1,510.9866,637.5933
2,1095.7376,790.3080
3,897.3839,817.0770
4,733.4393,800.3495
5,467.6075,744.8925
6,648.9243,731.1827
7,844.7350,745.3768
8,554.0403,724.1172
9,575.7373,709.2792
10,517.8802,691.8793
11,741.5393,696.0176
12,370.7172,670.9945
13,754.3487,676.9484
14,460.2977,662.5050
15,1194.4558,695.7519
16,1033.7813,715.6360
17,647.9351,711.8748
18,882.9647,720.8796
19,662.9206,717.9816
20,286.3855,697.4294
21,402.1817,684.0091
22,640.8681,682.1334
23,577.2184,677.7619
24,822.7699,683.5622
25,754.7240,686.2992
26,651.5887,685.0137
27,683.1011,684.9453
28,875.5119,691.5166
29,598.0822,688.4021
30,487.3410,681.9163
31,720.2633,683.1146
32,823.7367,687.3759
33,1081.5062,698.9680
34,650.2547,697.5762
35,893.3481,703.0143
36,794.3602,705.4831
37,628.3028,703.4520
38,1011.0939,711.3403
39,709.4220,711.2923
40,639.7983,709.5486
41,390.3387,701.9483
42,745.0116,702.9498
43,938.8681,708.3116
44,862.3388,711.7344
45,979.8627,717.5633
46,678.1927,716.7256
47,497.3734,712.1558
48,501.2331,707.8512
49,1027.8996,714.2522
50,819.2524,819.2524
51,528.3117,673.7821
52,717.3668,688.3103
53,636.2383,675.2923
54,540.6062,648.3551
55,2211.8618,908.9395
56,2045.1563,1071.2562
57,933.7953,1054.0736
58,1528.7193,1106.8120
59,1897.8099,1185.9118
60,2150.0846,1273.5639
61,653.4921,1221.8912
62,821.0257,1191.0554
63,1775.0400,1232.7686
64,800.9503,1203.9807
65,331.6105,1149.4576
66,2395.5866,1222.7593
67,1147.2150,1218.5624
68,1473.3707,1231.9733
69,609.1618,1200.8328
70,948.8262,1188.8324
71,1306.8805,1194.1983
72,1757.7200,1218.6992
73,835.9468,1202.7512
74,854.1156,1188.8058
75,683.6808,1169.3779
76,987.4083,1162.6383
77,255.2208,1130.2305
78,1224.4475,1133.4794
79,707.8967,1119.2933
80,2635.3699,1168.1990
81,2147.0206,1198.7872
82,423.2050,1175.2847
83,2027.3316,1200.3449
84,1419.1888,1206.5976
85,1360.3959,1210.8697
86,1780.2086,1226.2573
87,2126.4710,1249.9471
88,1095.7444,1245.9932
89,2699.4659,1282.3300
90,759.8800,1269.5873
91,921.8160,1261.3071
92,993.2611,1255.0734
93,1846.6571,1268.5185
94,845.0245,1259.1075
95,1355.1207,1261.1948
96,910.4297,1253.7317
97,884.9427,1246.0486
98,1053.2746,1242.1144
99,668.9543,1230.6512
